Festival_Name,City,Date,Tour_Name,Headlining_Artist,International & Local Artists,Supporting_Artists,Ticket_Price(Rs),Total_Attendance,Revenue per Event,Merchandise_Sales (Rs),Sponsorship_Revenue (Rs),Total_Revenue (Rs),Artist_Name,Genre,Average_Ticket_Price,Average_Attendance_Per_City,Social_Media_Followers (millions),Streaming_Plays (millions),Merchandise_Revenue_Per_Concert (Rs),Tour_Impact,Cities_Performed_In
Sunburn Goa,Goa,12/23/2024,,Shreya Ghoshal,Local Artist,"Honey Singh, Badshah, Bryan Adams",2842,24021,68267682,5020389,2851905,76139976,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Supersonic Bengaluru,Pune,5/16/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Mika Singh, Ed Sheeran, Arijit Singh",528,33241,17551248,2659280,3167786,19328026,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Magnetic Fields Rajasthan,Mumbai,12/18/2024,,Martin Garrix,International  ,"Shreya Ghoshal, Ed Sheeran, Arijit Singh",1543,19867,30654781,2821114,2897760,36373655,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Hornbill Festival Nagaland,Amritsar,2/22/2024,,Shreya Ghoshal,Local Artist,"Bryan Adams, Badshah, Honey Singh",2188,20603,45079364,9559792,4600450,59239606,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
VH1 Supersonic Delhi,Kolkata,10/16/2024,Classics Tour,Bryan Adams,International  ,"Ed Sheeran, Shreya Ghoshal",2217.6,9504.6,21077401,5892852,795307,28195711,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Lollapalooza Mumbai,Delhi,6/12/2024,Classics Tour,Bryan Adams,International  ,"Martin Garrix, Mika Singh, Bryan Adams",5397,9158.1,49426266,1687707,2188470,54311142,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Ziro Festival Arunachal,Pune,4/2/2024,Mathematics Tour,Ed Sheeran,International  ,"Honey Singh, Ed Sheeran",1601.6,11790,18882864,3030030,3635278,20153068,Ed Sheeran,International Pop,3436,18609,55,736,4856949,Yes,"Pune, Amritsar, Goa, Chandigarh"
Ziro Festival Arunachal,Delhi,8/27/2024,,Shreya Ghoshal,Local Artist,"Honey Singh, Mika Singh, Martin Garrix, Ed Sheeran",4564,31755,144929820,6890835,4732974,156553629,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Sunburn Goa,Nagpur,12/8/2024,Classics Tour,Bryan Adams,International  ,"Ed Sheeran, Mika Singh, Shreya Ghoshal, Honey Singh",3350.2,2975.7,9969190,1041495,3001940,14216078,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Sunburn Goa,Delhi,6/17/2024,,Badshah,Local Artist,"Shreya Ghoshal, Diljit Dosanjh, Arijit Singh",4045,27719,112123355,7539568,4670910,124333833,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Sunburn Goa,Bengaluru,5/13/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Honey Singh, Diljit Dosanjh, Badshah",1008,21142,21311136,2558182,1632574,25501892,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
NH7 Pune,Chandigarh,7/1/2024,,Martin Garrix,International  ,"Honey Singh, Bryan Adams, DJ Snake",2334,16842,39309228,6905220,1067015,47281463,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Goa Tribal Festival,Delhi,1/8/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Ed Sheeran, Diljit Dosanjh, Shreya Ghoshal, Badshah",2910.2,14456,42070095,4603680,2403962,41090442,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Magnetic Fields Rajasthan,Amritsar,5/4/2024,,Badshah,Local Artist,"Mika Singh, Diljit Dosanjh, Martin Garrix",3977,25243,100391411,9238938,4689343,114319692,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Sunburn Goa,Jaipur,4/25/2024,,Honey Singh,Local Artist,"Bryan Adams, Diljit Dosanjh, Honey Singh, Mika Singh",3449,13539,46696011,5672841,3471436,55840288,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Hornbill Festival Nagaland,Pune,1/25/2024,,Badshah,Local Artist,"Martin Garrix, Bryan Adams, DJ Snake",3668,36462,133742616,5250528,2377592,141370736,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
NH7 Pune,Goa,9/4/2024,,Badshah,Local Artist,"Arijit Singh, Diljit Dosanjh",3279,32540,106698660,13341400,2840750,122880810,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
NH7 Pune,Amritsar,12/13/2024,,Honey Singh,Local Artist,"Diljit Dosanjh, Honey Singh, DJ Snake, Shreya Ghoshal",2948,9316,27463568,1266976,2704822,31435366,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
NH7 Pune,Delhi,12/21/2024,,DJ Snake,International  ,"Bryan Adams, Mika Singh, Arijit Singh",2749.6,17172,47216131,7830432,3956927,45513167,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
Ziro Festival Arunachal,Bengaluru,4/28/2024,,Honey Singh,Local Artist,"Arijit Singh, Honey Singh",2910.2,16737,48708299,6276375,2726932,85424449,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
NH7 Pune,Chandigarh,4/10/2024,,Shreya Ghoshal,Local Artist,"Martin Garrix, Diljit Dosanjh, Badshah, Mika Singh",632,35304,22312128,10379376,1590737,34282241,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Goa Tribal Festival,Kolkata,3/9/2024,,Honey Singh,Local Artist,"DJ Snake, Arijit Singh, Badshah, Mika Singh",1932,16841,32536812,7713178,4738764,44988754,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Ziro Festival Arunachal,Goa,3/7/2024,Classics Tour,Bryan Adams,International  ,"Mika Singh, Diljit Dosanjh, Shreya Ghoshal",1598.8,18210.5,29114947,7336230,2229062,39274422,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Lollapalooza Mumbai,Bengaluru,4/13/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Diljit Dosanjh, DJ Snake, Honey Singh, Shreya Ghoshal",2910.2,7559.5,21999784,1913135,4680189,21654174,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
VH1 Supersonic Delhi,Bengaluru,8/5/2024,,Martin Garrix,International  ,"DJ Snake, Honey Singh, Diljit Dosanjh",4452,31745,141328740,4412555,4091720,149833015,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Bollywood Music Project,Mumbai,9/20/2024,,Mika Singh,Local Artist,"Arijit Singh, DJ Snake, Martin Garrix",2716,12688,34460608,2486848,1413822,38361278,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Sunburn Goa,Chandigarh,8/3/2024,,Mika Singh,Local Artist,"DJ Snake, Badshah",2237,20276,45357412,9671652,4912334,59941398,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Bollywood Music Project,Nagpur,6/25/2024,,Badshah,Local Artist,"DJ Snake, Honey Singh, Diljit Dosanjh",1412,20798.88,29368019,12753000,663225,61435521,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Bollywood Music Project,Goa,12/28/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Diljit Dosanjh, Shreya Ghoshal, Ed Sheeran",836,56160,46949760,14904000,4753926,55773126,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Bollywood Music Project,Chandigarh,8/23/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Bryan Adams, DJ Snake, Mika Singh, Shreya Ghoshal",625,34043.1,21276938,11705589,2483828,30556292,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Lollapalooza Mumbai,Kolkata,9/20/2024,,Badshah,Local Artist,"Mika Singh, Arijit Singh, Ed Sheeran",4629,34318,158858022,5113382,3030898,167002302,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Lollapalooza Mumbai,Chandigarh,8/20/2024,,Mika Singh,Local Artist,"Shreya Ghoshal, Badshah, Arijit Singh, Bryan Adams",3412,22029,75162948,7401744,4420985,86985677,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Ziro Festival Arunachal,Mumbai,8/8/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Badshah, DJ Snake, Honey Singh, Mika Singh",737,28345.2,20890412,3292404,4566892,23928844,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Sunburn Goa,Goa,12/28/2024,,Mika Singh,Local Artist,"Honey Singh, Shreya Ghoshal",933,31752,29624616,5366088,1334941,36325645,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Ziro Festival Arunachal,Bengaluru,6/24/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Ed Sheeran, Arijit Singh, Badshah",4503,7651,34452453,1361878,2805968,38620299,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Supersonic Bengaluru,Chandigarh,5/11/2024,Mathematics Tour,Ed Sheeran,International  ,"DJ Snake, Mika Singh",2615.2,6000,15691200,2094000,3409793,16711793,Ed Sheeran,International Pop,3436,18609,55,736,4856949,Yes,"Pune, Amritsar, Goa, Chandigarh"
Supersonic Bengaluru,Jaipur,4/4/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Mika Singh, Ed Sheeran",4046,32925.1,133214955,4356244,1785594,108614880,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
VH1 Supersonic Delhi,Nagpur,1/27/2024,Classics Tour,Bryan Adams,International  ,"Mika Singh, Badshah",4613,9412.2,43418479,5580090,4314798,54199458,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
VH1 Supersonic Delhi,Goa,7/26/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Ed Sheeran, DJ Snake, Mika Singh",3437,17457,59999709,4800675,3816903,68617287,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Supersonic Bengaluru,Jaipur,9/8/2024,,Martin Garrix,International  ,"Martin Garrix, Badshah",2167,23456,50829152,8068864,4892379,63790395,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Ziro Festival Arunachal,Nagpur,12/9/2024,,Honey Singh,Local Artist,"Arijit Singh, Honey Singh, Shreya Ghoshal, Ed Sheeran",2495,26922,67170390,12868716,4865146,339617008,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Magnetic Fields Rajasthan,Nagpur,1/13/2024,Classics Tour,Bryan Adams,International  ,"Arijit Singh, Diljit Dosanjh",1244.6,23400.3,29124013,10463277,1325646,41507304,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Sunburn Goa,Pune,8/5/2024,,Shreya Ghoshal,Local Artist,"DJ Snake, Shreya Ghoshal, Honey Singh, Diljit Dosanjh",4120,20798.88,85691386,4873518,2422363,93103121,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Magnetic Fields Rajasthan,Goa,6/5/2024,,Shreya Ghoshal,Local Artist,"Martin Garrix, Badshah, Bryan Adams, Arijit Singh",2910.2,20798.88,60529251,4728492,3476973,15717666,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Goa Tribal Festival,Amritsar,2/4/2024,Classics Tour,Bryan Adams,International  ,"Diljit Dosanjh, Ed Sheeran, DJ Snake, Honey Singh",4459,19021.1,84815085,9592069,3713395,99851469,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Ziro Festival Arunachal,Jaipur,5/19/2024,,Shreya Ghoshal,Local Artist,"Honey Singh, Ed Sheeran",2910.2,31020,90274926,10701900,854727,122856387,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Bollywood Music Project,Jaipur,10/18/2024,,Mika Singh,Local Artist,"DJ Snake, Arijit Singh, Shreya Ghoshal",2910.2,5456,15878143,1085744,3936852,19235476,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Bollywood Music Project,Goa,7/13/2024,,DJ Snake,International  ,"Bryan Adams, Martin Garrix",5391.4,11355,61219347,2305065,1958821,191967964,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
Sunburn Goa,Delhi,6/14/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Martin Garrix, DJ Snake, Arijit Singh, Honey Singh",2910.2,20798.88,60529251,3236079,3039149,24290802,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Magnetic Fields Rajasthan,Kolkata,3/19/2024,,Badshah,Local Artist,"Diljit Dosanjh, Arijit Singh, Shreya Ghoshal, Mika Singh",2589,8270,21411030,1563030,3564057,106152468,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Bollywood Music Project,Goa,5/8/2024,,Honey Singh,Local Artist,"Shreya Ghoshal, DJ Snake, Honey Singh, Bryan Adams",4078,9560,38985680,3795320,2303574,45084574,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Goa Tribal Festival,Goa,3/17/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Ed Sheeran, Honey Singh, Arijit Singh",1381,13578,18751218,5336154,1442642,25530014,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
VH1 Supersonic Delhi,Chandigarh,8/2/2024,,Honey Singh,Local Artist,"Arijit Singh, Badshah",2817,13994,39421098,6689132,3519113,49629343,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Goa Tribal Festival,Bengaluru,1/26/2024,,Badshah,Local Artist,"Bryan Adams, Honey Singh, Mika Singh",2937,14499,42583563,7177005,1341541,51102109,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Sunburn Goa,Nagpur,10/3/2024,,DJ Snake,International  ,"Ed Sheeran, Honey Singh, Badshah, Mika Singh",3235.4,15002,48537471,3975530,4947667,43592819,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
NH7 Pune,Goa,2/17/2024,,DJ Snake,International  ,"Ed Sheeran, Badshah, Arijit Singh, Bryan Adams",2224.6,23169,51541757,5630067,4471729,46917337,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
Supersonic Bengaluru,Nagpur,11/20/2024,,DJ Snake,International  ,"Martin Garrix, Honey Singh, DJ Snake, Arijit Singh",2679.6,20798.88,55732679,1370391,1953924,23346669,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
Magnetic Fields Rajasthan,Pune,2/23/2024,,Mika Singh,Local Artist,"Mika Singh, DJ Snake, Bryan Adams, Ed Sheeran",2567,4240,10884080,1861360,1698282,14443722,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Hornbill Festival Nagaland,Delhi,9/8/2024,Classics Tour,Bryan Adams,International  ,"Honey Singh, Shreya Ghoshal",6972,21681.1,151160629,13875904,2510128,170631572,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Hornbill Festival Nagaland,Pune,8/6/2024,,Honey Singh,Local Artist,"Martin Garrix, Bryan Adams",2910.2,32900,95746134,6777400,3584230,126301230,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
Sunburn Goa,Pune,11/13/2024,Classics Tour,Bryan Adams,International  ,"Bryan Adams, Arijit Singh, Honey Singh",4765.6,11366.6,54168669,6933626,2380633,64588411,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Supersonic Bengaluru,Delhi,5/2/2024,,Shreya Ghoshal,Local Artist,"Ed Sheeran, Honey Singh, DJ Snake, Bryan Adams",3243,5362,17388966,739956,4259028,22387950,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Supersonic Bengaluru,Chandigarh,8/27/2024,,Martin Garrix,International  ,"Shreya Ghoshal, Martin Garrix",1599,6748,10790052,1005452,3330904,15126408,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Supersonic Bengaluru,Jaipur,2/4/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Mika Singh, Diljit Dosanjh",1180,11979,14135220,3114540,2375872,19625632,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Lollapalooza Mumbai,Kolkata,11/5/2024,Born To Shine Tour,Diljit Dosanjh,Local Artist,"Arijit Singh, Mika Singh",3928,45372.6,178223573,14623938,962979,152681973,Diljit Dosanjh,Punjabi,2027,33738,46,116,22334556,Yes,"Amritsar, Kolkata, Delhi, Mumbai, Bengaluru"
Lollapalooza Mumbai,Jaipur,4/19/2024,,Martin Garrix,International  ,"Mika Singh, Badshah, Ed Sheeran, Diljit Dosanjh",929,17678,16422862,4118974,3432767,23974603,Martin Garrix,EDM,2499,11603,43,298,6462871,No,"Chandigarh, Delhi, Pune, Nagpur, Bengaluru, Kolkata"
Lollapalooza Mumbai,Bengaluru,6/11/2024,,Badshah,Local Artist,"Arijit Singh, Ed Sheeran",1824,11076,20202624,2193048,4584685,26980357,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Ziro Festival Arunachal,Mumbai,4/3/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Honey Singh, Martin Garrix, DJ Snake, Bryan Adams",3034,9525,28898850,1266825,659581,30825256,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Sunburn Goa,Amritsar,11/15/2024,Mathematics Tour,Ed Sheeran,International  ,"Honey Singh, Bryan Adams, DJ Snake",798,20798.88,16597506,4874352,1012227,16292499,Ed Sheeran,International Pop,3436,18609,55,736,4856949,Yes,"Pune, Amritsar, Goa, Chandigarh"
VH1 Supersonic Delhi,Nagpur,12/10/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Martin Garrix, Badshah, Honey Singh, DJ Snake",2753,7762,21368786,2227694,3105094,26701574,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Magnetic Fields Rajasthan,Nagpur,1/12/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Diljit Dosanjh, Mika Singh, DJ Snake",2609,27598,72003182,13467824,3310368,88781374,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Bollywood Music Project,Mumbai,2/2/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Martin Garrix, DJ Snake, Ed Sheeran, Mika Singh",4418,8702,38445436,3280654,615109,42341199,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
VH1 Supersonic Delhi,Bengaluru,2/6/2024,,Shreya Ghoshal,Local Artist,"Diljit Dosanjh, Arijit Singh, DJ Snake",4849,8214,39829686,1667442,4255125,45752253,Shreya Ghoshal,Classical/Bollywood,3326,3197,23,271,792856,No,"Pune, Mumbai, Delhi, Bengaluru, Amritsar"
Supersonic Bengaluru,Amritsar,12/13/2024,Classics Tour,Bryan Adams,International  ,"DJ Snake, Mika Singh",1750,20798.88,36398040,4231825,3268157,21531232,Bryan Adams,Rock,992,21632.55556,30,81,8678356,Yes,"Delhi, Jaipur, Bengaluru, Mumbai"
Sunburn Goa,Jaipur,5/13/2024,,DJ Snake,International  ,"Badshah, Bryan Adams",4279.8,18095,77442981,4089470,1719569,61125454,DJ Snake,EDM,1431,19089,32,429,10193526,No,"Bengaluru, Jaipur, Mumbai, Chandigarh, Kolkata, Delhi"
Bollywood Music Project,Jaipur,7/8/2024,,Mika Singh,Local Artist,"Arijit Singh, Ed Sheeran, Honey Singh, Mika Singh",3586,38295,137325870,5476185,887815,143689870,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Supersonic Bengaluru,Goa,12/6/2024,,Mika Singh,Local Artist,"Diljit Dosanjh, Martin Garrix",3782,39893,150875326,6263201,6333350,158405197,Mika Singh,Bollywood,1025,11057,12,371,7983154,No,"Delhi, Amritsar, Bengaluru, Mumbai"
Bollywood Music Project,Bengaluru,8/3/2024,Mathematics Tour,Ed Sheeran,International  ,"Mika Singh, DJ Snake",4834.2,14283,69046879,5356125,1549672,56224996,Ed Sheeran,International Pop,3436,18609,55,736,4856949,Yes,"Pune, Amritsar, Goa, Chandigarh"
Bollywood Music Project,Kolkata,3/2/2024,,Badshah,Local Artist,"Honey Singh, Diljit Dosanjh, Mika Singh",4286,8925,38252550,2722125,896661,41871336,Badshah,Bollywood,3351,36448,33,483,20228640,No,"Nagpur, Goa, Amritsar, Chandigarh, Mumbai"
Hornbill Festival Nagaland,Delhi,5/15/2024,Soulful Nights Tour,Arijit Singh,Local Artist,"Martin Garrix, Ed Sheeran, Mika Singh",2910.2,4885,14216409,1734175,4292613,23891233,Arijit Singh,Bollywood,2437,25729,30,584,18730712,Yes,"Nagpur, Jaipur, Chandigarh"
Hornbill Festival Nagaland,Nagpur,12/21/2024,,Honey Singh,Local Artist,"Mika Singh, Ed Sheeran",4529,4425,20040825,584100,2385440,23010365,Honey Singh,Hip-Hop,1573,35223,34,430,25360560,No,"Pune, Amritsar, Bengaluru"
